scenarioId_A,scenarioId_B,graphEditDistance,entityPositionDistance,jaccardRoomConnectivity,roleDistributionDistance,depthProfileDistance,doorStateDistance,furnitureCountDistance
0225230d-0887-4698-8bca-5fb37c36f3b0,226e59b5-85b6-44a5-a466-a8fa04179a88,0.0000,9.0614,1.0000,0.0000,0.0000,0.6667,0.1333
0225230d-0887-4698-8bca-5fb37c36f3b0,91f77aab-c6ff-4073-a136-b2a7e46b7d5a,0.0000,5.3191,1.0000,0.0000,0.0000,0.6667,0.0000
0225230d-0887-4698-8bca-5fb37c36f3b0,87eae420-a7bd-4959-9776-57547c77ded6,0.0000,3.6925,1.0000,0.0000,0.0000,0.6667,0.0714
0225230d-0887-4698-8bca-5fb37c36f3b0,572ce08c-67cc-4088-b295-eee9294270c9,2.0000,11.5905,0.5000,2.0000,2.0000,0.0000,0.1538
0225230d-0887-4698-8bca-5fb37c36f3b0,f504b0c1-ca95-485a-b810-bdfb955dbe9d,2.0000,10.8107,0.5000,2.0000,2.0000,0.0000,0.1154
0225230d-0887-4698-8bca-5fb37c36f3b0,054018e5-ff96-4397-8529-1c0ea2231ecb,2.0000,11.4418,0.5000,2.0000,2.0000,0.0000,0.1923
278ad5a6-1db2-4cf4-9052-d7a3154a86a3,41eaf228-eb3d-41c0-a7f4-7eec9d07a65e,0.0000,8.8048,1.0000,0.0000,0.0000,0.0000,0.1364
278ad5a6-1db2-4cf4-9052-d7a3154a86a3,bdf1e86d-2f27-483f-87fc-d21daa366ac3,0.0000,8.8705,1.0000,0.0000,0.0000,0.0000,0.0455
278ad5a6-1db2-4cf4-9052-d7a3154a86a3,add728c6-2920-4318-abd4-14383ff81e57,2.0000,12.1113,0.5000,2.0000,2.0000,0.6667,0.1538
278ad5a6-1db2-4cf4-9052-d7a3154a86a3,c565b010-7cc0-44a5-a917-f15cf1b9d565,2.0000,9.6161,0.5000,2.0000,2.0000,0.6667,0.2143
278ad5a6-1db2-4cf4-9052-d7a3154a86a3,5db80703-deff-43d5-9523-9ceb342af513,0.0000,17.9692,1.0000,0.0000,0.0000,0.6667,0.0435
278ad5a6-1db2-4cf4-9052-d7a3154a86a3,ecd283b8-518c-49fb-95a1-9d93d8fb7dd0,0.0000,13.9822,1.0000,0.0000,0.0000,0.6667,0.0455
278ad5a6-1db2-4cf4-9052-d7a3154a86a3,6bb83221-af54-4c04-9a3c-048a45a2bc3b,2.0000,13.3183,0.5000,2.0000,2.0000,0.0000,0.3333
278ad5a6-1db2-4cf4-9052-d7a3154a86a3,f4ecb26e-df46-4218-865b-d72f99d409c7,0.0000,3.6412,1.0000,0.0000,0.0000,0.0000,0.0435
278ad5a6-1db2-4cf4-9052-d7a3154a86a3,4f4cdc05-a5b4-4c50-ae65-74556b05617d,2.0000,12.4716,0.5000,2.0000,2.0000,0.0000,0.3125
278ad5a6-1db2-4cf4-9052-d7a3154a86a3,1322b659-2d86-4c00-a366-80d6ee3de151,2.0000,10.1259,0.5000,2.0000,2.0000,0.6667,0.1538
278ad5a6-1db2-4cf4-9052-d7a3154a86a3,e3245c5e-c846-41d5-9578-04c15194059d,2.0000,6.2539,0.5000,2.0000,2.0000,0.0000,0.1852
278ad5a6-1db2-4cf4-9052-d7a3154a86a3,81091e0f-cfd2-47e2-87d2-1d8ee82f33c9,0.0000,7.4580,1.0000,0.0000,0.0000,0.0000,0.0435
278ad5a6-1db2-4cf4-9052-d7a3154a86a3,5b537ac8-53f5-4603-b88c-b49251c7d743,2.0000,11.8206,0.5000,2.0000,2.0000,0.0000,0.1538
278ad5a6-1db2-4cf4-9052-d7a3154a86a3,ad9063b4-f3ca-4394-ae49-12998ffc2953,2.0000,6.5704,0.5000,2.0000,2.0000,0.6667,0.2903
278ad5a6-1db2-4cf4-9052-d7a3154a86a3,98d0de61-1e43-4d11-843b-b65b40b4a310,2.0000,10.2834,0.5000,2.0000,2.0000,0.0000,0.2414
278ad5a6-1db2-4cf4-9052-d7a3154a86a3,d489175a-a2b9-4275-a844-c0a7595f6c6c,0.0000,15.7818,1.0000,0.0000,0.0000,0.6667,0.1364
