difficultyBatch,roomCount,doorCount,avgConnectivity,graphDiameter,maxDepth,cyclicityMeasure,entryPointCount,doorsOpen,doorsClosed,doorsLocked,lockedDoorFraction,avgEntityDistanceFromEntry,entityClusteringCoefficient,avgHostageTerroristDistance,minHostageTerroristDistance,entityDepthVariance,avgEntityDepth,avgPatrolRouteLength,stationaryGuardCount,patrolCount,roamingGuardCount,hostageGuardianCount,patrolCoverage,avgWaypointCount,totalFurnitureCount,avgFurniturePerRoom,furnitureFloorCoverage,furnishedRoomCount,layoutType,roomSizeCategory,entryType,configRoomCount,configTerroristCount,placementStrategy,hostageRiskLevel,difficultyLevel,randomnessLevel,seedUsed,scenarioId,validationPassed,validationWarnings,errorMessage
1,4,3,1.5000,2,1,0.0000,1,0,2,1,0.3333,7.6989,0.6667,9.3839,1.6254,0.0000,1.0000,2.0000,0,1,1,1,0.2500,1.3333,25,6.2500,0.1131,4,branching,medium,single,4,3,dispersed,medium,1,medium,78619425,94034884-8fed-4e93-8a3f-7e08ed1576e0,true,,
1,4,3,1.5000,3,2,0.0000,1,0,2,1,0.3333,9.2184,1.0000,5.8804,1.5003,0.2500,1.5000,2.0000,0,1,1,1,0.2500,1.6667,14,3.5000,0.0364,4,branching,medium,single,4,3,dispersed,medium,1,medium,2047039790,9880fa5b-568c-407d-9311-efe010b17816,true,,
1,4,3,1.5000,3,2,0.0000,1,0,2,1,0.3333,9.9827,0.6667,9.0638,1.5127,0.2500,1.5000,3.0000,0,1,1,1,0.5000,1.6667,18,4.5000,0.0553,4,branching,medium,single,4,3,dispersed,medium,1,medium,712974529,bf2fb06a-5123-4612-81a8-dc8f8c1c3240,true,,
1,4,3,1.5000,2,1,0.0000,1,0,2,1,0.3333,8.2600,0.8333,6.1081,3.1756,0.0000,1.0000,2.0000,0,1,1,1,0.2500,1.3333,21,5.2500,0.0821,4,branching,medium,single,4,3,dispersed,medium,1,medium,1087739356,c57af0f1-47f8-4521-a042-6b9fef27d718,true,,
1,4,3,1.5000,3,2,0.0000,1,0,2,1,0.3333,9.4846,0.3333,12.3944,1.6248,0.2500,1.5000,2.0000,0,1,1,1,0.2500,1.3333,16,4.0000,0.0721,4,branching,medium,single,4,3,dispersed,medium,1,medium,516733825,e2c82b3c-aaf7-4b2c-82fa-e12d3431f8ac,true,,
1,4,3,1.5000,3,2,0.0000,1,0,2,1,0.3333,9.7423,1.0000,5.2792,1.5738,0.2500,1.5000,3.0000,0,1,1,1,0.5000,2.0000,16,4.0000,0.0536,4,branching,medium,single,4,3,dispersed,medium,1,medium,1951770571,040e5fa9-bd07-4db4-864b-cea04d7fdc15,true,,
1,4,3,1.5000,2,1,0.0000,1,0,2,1,0.3333,7.8946,0.6667,14.4531,11.2438,0.0000,1.0000,2.0000,0,1,1,1,0.2500,1.3333,18,4.5000,0.0470,4,branching,medium,single,4,3,dispersed,medium,1,medium,253641209,397f7bee-acaa-486c-86e6-158c615efc35,true,,
1,4,3,1.5000,2,1,0.0000,1,0,2,1,0.3333,7.7552,1.0000,8.0722,1.7595,0.0000,1.0000,2.0000,0,1,1,1,0.2500,1.3333,20,5.0000,0.0817,4,branching,medium,single,4,3,dispersed,medium,1,medium,582177233,2c5dd7f0-0804-4308-a4a3-b33a7ffcdc57,true,,
1,4,3,1.5000,2,1,0.0000,1,0,2,1,0.3333,8.1094,0.8333,7.6586,1.6928,0.0000,1.0000,2.0000,0,1,1,1,0.2500,1.3333,25,6.2500,0.0992,4,branching,medium,single,4,3,dispersed,medium,1,medium,1443218994,e4145159-0756-4a8b-9aea-c6c5a369e52e,true,,
1,4,3,1.5000,3,2,0.0000,1,0,2,1,0.3333,11.2916,1.0000,6.7863,3.1850,0.2500,1.5000,3.0000,0,1,1,1,0.5000,2.0000,16,4.0000,0.0458,4,branching,medium,single,4,3,dispersed,medium,1,medium,1370431501,56ed3c40-df90-4442-9435-9eeb3dcd750b,true,,
