withinFormRange,roomCount,doorCount,avgConnectivity,graphDiameter,maxDepth,cyclicityMeasure,entryPointCount,doorsOpen,doorsClosed,doorsLocked,lockedDoorFraction,avgEntityDistanceFromEntry,entityClusteringCoefficient,avgHostageTerroristDistance,minHostageTerroristDistance,entityDepthVariance,avgEntityDepth,avgPatrolRouteLength,stationaryGuardCount,patrolCount,roamingGuardCount,hostageGuardianCount,patrolCoverage,avgWaypointCount,totalFurnitureCount,avgFurniturePerRoom,furnitureFloorCoverage,furnishedRoomCount,layoutType,roomSizeCategory,entryType,configRoomCount,configTerroristCount,placementStrategy,hostageRiskLevel,difficultyLevel,randomnessLevel,seedUsed,scenarioId,validationPassed,validationWarnings,errorMessage,failureCategory,seedRetries
false,8,7,1.7500,7,7,0.0000,1,2,4,1,0.1429,7.0663,0.6786,10.5917,5.4474,0.9375,2.2500,3.3333,1,3,2,1,0.3750,2.5714,11,1.3750,0.0289,8,linear,small,single,8,7,front_loaded,medium,2,medium,328717302,913e4f03-095e-4139-8fb3-362a04b3a45a,true,,,none,0
false,4,3,1.5000,3,3,0.0000,1,0,2,1,0.3333,20.4644,1.0000,4.9173,1.7422,0.2449,2.5714,3.0000,1,2,2,1,0.5000,2.3333,8,2.0000,0.0393,4,linear,medium,single,4,6,clustered,high,2,low,964208153,855674a1-1476-48eb-9d82-5bda4e4dc35c,false,"EntityBounds: entity terrorist_05 at (21.80, 2.20) exceeds room room_04 interior bounds (centre=(24.00, 0.00), half-extents=(2.20, 2.20))",,EntityBounds,3
false,15,14,1.8667,6,3,0.0000,1,0,13,1,0.0714,6.5112,0.6667,9.0475,4.9562,0.1389,1.1667,4.0000,2,1,1,1,0.2000,1.6000,35,2.3333,0.0558,15,branching,small,single,15,5,front_loaded,low,5,low,1385909067,ec418f8c-6c8d-4cbe-9291-e2bfaee3bf99,true,,,none,0
true,4,4,2.0000,2,2,0.2500,1,0,4,0,0.0000,9.6849,0.6000,5.4097,1.7340,0.2400,1.6000,3.0000,1,1,1,1,0.5000,1.5000,4,1.0000,0.0160,3,loop,small,single,4,4,deep,high,4,low,1108457307,b192ac82-da88-406d-a860-b7d4b5ca9fdf,true,,,none,0
false,5,5,2.0000,2,2,0.2000,1,1,4,0,0.0000,10.9292,0.4762,13.3564,3.5698,0.1224,1.8571,3.0000,2,1,2,1,0.4000,1.8333,13,2.6000,0.0404,5,loop,medium,single,5,6,deep,low,4,medium,1252333391,2575385d-2e30-43d9-b487-19b723b0b14e,true,,,none,1
false,15,16,2.1333,7,4,0.1250,1,4,12,0,0.0000,14.8379,0.0000,20.4233,12.4271,0.9600,3.2000,4.0000,1,1,1,1,0.2000,2.0000,24,1.6000,0.0369,15,loop,small,single,15,4,deep,high,4,high,803722737,509fc812-9350-4f88-8321-afe0aa8d5b19,false,"EntityBounds: entity terrorist_01 at (17.06, -7.20) exceeds room room_11 interior bounds (centre=(18.26, -6.00), half-extents=(1.20, 1.20))",,EntityBounds,3
false,12,11,1.8333,2,1,0.0000,1,0,10,1,0.0909,6.0631,0.0000,8.5150,8.5150,0.0000,1.0000,0.0000,0,0,0,1,0.0000,0.0000,47,3.9167,0.0918,11,hub_and_spoke,small,single,12,1,front_loaded,medium,2,high,1174026200,8f63d358-fea9-420d-8be4-43ba203fc89b,true,,,none,0
false,12,11,1.8333,6,3,0.0000,1,1,9,1,0.0909,10.2222,0.4722,9.7682,2.0768,0.2222,2.6667,3.0000,3,1,3,1,0.1667,1.5000,26,2.1667,0.0460,12,branching,small,single,12,8,deep,high,4,medium,1190164662,ea56e64f-b435-487d-bc87-f03e1859325d,true,,,none,0
false,7,6,1.7143,6,6,0.0000,1,2,3,1,0.1667,17.3279,0.3000,21.0062,15.7823,2.9600,3.2000,3.5000,0,2,1,1,0.4286,2.7500,19,2.7143,0.0379,7,linear,medium,single,7,4,dispersed,low,1,medium,1251312210,c42e3787-e740-4878-9d6f-f94311d3ddce,true,,,none,0
false,7,6,1.7143,6,6,0.0000,1,1,4,1,0.1667,15.8683,1.0000,14.2680,14.2680,1.0000,2.0000,0.0000,0,0,0,1,0.0000,0.0000,41,5.8571,0.0646,7,linear,large,single,7,1,front_loaded,high,2,medium,2010894192,87ba4e24-2787-4675-a8e8-d34392cb2c02,true,,,none,0
