event_id,ablation_mode,event_x,event_z,selected_npc,selected_role,distance_m,had_los,state_score
37,NoLOS,0.97,-2.98,AblationNPC_01,Roamer,12.74,1,0.80
37,NoDistance,0.97,-2.98,AblationNPC_01,Roamer,12.74,1,0.80
37,NoRole,0.97,-2.98,AblationNPC_06,Guard,2.54,1,0.80
37,NoState,0.97,-2.98,AblationNPC_01,Roamer,12.74,1,0.80
38,Full,-6.08,12.22,AblationNPC_01,Roamer,12.63,1,0.80
38,NoLOS,-6.08,12.22,AblationNPC_01,Roamer,12.63,1,0.80
38,NoDistance,-6.08,12.22,AblationNPC_01,Roamer,12.63,1,0.80
38,NoRole,-6.08,12.22,AblationNPC_05,Leader,19.59,1,1.00
38,NoState,-6.08,12.22,AblationNPC_04,Roamer,5.74,1,0.10
39,Full,2.60,7.05,AblationNPC_01,Roamer,15.23,1,0.80
39,NoLOS,2.60,7.05,AblationNPC_01,Roamer,15.23,1,0.80
39,NoDistance,2.60,7.05,AblationNPC_01,Roamer,15.23,1,0.80
39,NoRole,2.60,7.05,AblationNPC_01,Roamer,15.23,1,0.80
39,NoState,2.60,7.05,AblationNPC_04,Roamer,12.42,1,0.10
40,Full,-14.42,11.45,AblationNPC_01,Roamer,11.23,1,0.80
40,NoLOS,-14.42,11.45,AblationNPC_01,Roamer,11.23,1,0.80
40,NoDistance,-14.42,11.45,AblationNPC_01,Roamer,11.23,1,0.80
40,NoRole,-14.42,11.45,AblationNPC_05,Leader,19.81,1,1.00
40,NoState,-14.42,11.45,AblationNPC_04,Roamer,5.87,1,0.10
41,Full,13.73,-5.01,AblationNPC_01,Roamer,25.61,1,0.80
41,NoLOS,13.73,-5.01,AblationNPC_01,Roamer,25.61,1,0.80
41,NoDistance,13.73,-5.01,AblationNPC_01,Roamer,25.61,1,0.80
41,NoRole,13.73,-5.01,AblationNPC_00,Guard,10.42,1,1.00
41,NoState,13.73,-5.01,AblationNPC_01,Roamer,25.61,1,0.80
42,Full,6.32,-10.13,AblationNPC_00,Guard,1.43,1,1.00
42,NoLOS,6.32,-10.13,AblationNPC_01,Roamer,20.62,0,0.80
42,NoDistance,6.32,-10.13,AblationNPC_01,Roamer,20.62,0,0.80
